date,rev_forecast,upper_estimate,lower_estimate
2010-01-01,3899740.5618742933,3982831.488112093,3808365.9631815916
2010-02-01,3862793.252619773,3951073.771796879,3774290.876396356
2010-03-01,4262112.183522228,4350605.278109702,4173583.7054329203
2010-04-01,4043389.14227124,4130861.409686009,3959087.432627215
2010-05-01,4096502.282139556,4180026.3185594045,4007478.588036443
2010-06-01,3899402.871126845,3988541.71886926,3815521.0516249835
2010-07-01,4078858.7548561,4168160.773881299,3990134.0818647305
2010-08-01,4014406.7756345626,4105715.1462669186,3922757.282277718
2010-09-01,3815290.9144916735,3903043.9878271576,3724083.0054289633
2010-10-01,3933366.577299363,4022358.4270867985,3844061.5928717256
2010-11-01,3756499.575398004,3841173.439429311,3666232.5405285996
2010-12-01,3808829.678959227,3902890.13066386,3720118.6301669055
2011-01-01,3663720.2385108415,3751750.657120212,3574892.2517116955
2011-02-01,3683033.319533058,3771330.6807355583,3593016.709794841
2011-03-01,3981099.169202911,4076110.8496000036,3888388.17851446
2011-04-01,3781474.7084529693,3864386.6602706118,3688112.328248592
2011-05-01,3813684.038290031,3898739.6564409286,3727710.189864466
2011-06-01,3561644.0165545084,3645762.079064742,3470737.355908252
2011-07-01,3720371.8732386017,3805077.5033945316,3635783.164862803
2011-08-01,3606211.4921333073,3694378.5450537875,3514248.34731816
2011-09-01,3429360.512897768,3515353.980682022,3342575.0661262497
2011-10-01,3537248.7618308864,3625451.6361247147,3447448.071276365
2011-11-01,3298777.3444143273,3390333.6111346213,3204234.208872397
2011-12-01,3304080.7726165694,3392028.1953200945,3210544.9319199375
2012-01-01,3158086.056118601,3246793.3723646225,3070837.708750031
2012-02-01,3202529.4090553923,3291772.6266658977,3116368.9534131205
2012-03-01,3462312.5867504603,3545574.751666857,3372220.4947100864
2012-04-01,3204424.2795485607,3295216.32364208,3116835.7884647483
2012-05-01,3201625.44233843,3292063.371318457,3110065.232072649
2012-06-01,3081825.790892723,3177056.8377353447,2988403.195658719
2012-07-01,3148840.2832907336,3227722.019586007,3060626.1733354987
2012-08-01,3107306.4320995496,3199723.9903234676,3018369.7151513263
2012-09-01,2868433.514995299,2953075.2214782326,2783702.3691482265
2012-10-01,2867622.5408562003,2955239.2355482806,2778240.3795494
2012-11-01,2787763.3831529827,2874894.0108967354,2699629.007711451
2012-12-01,2828510.2545787655,2913665.4166486165,2738148.594350214
2013-01-01,2688405.251222025,2781511.8852271177,2600754.3010587725
2013-02-01,2587727.144052997,2675494.3611023985,2501811.9800507305
2013-03-01,2866666.4308818975,2954816.66040299,2775408.324822977
2013-04-01,2666777.3026031386,2747489.5524367974,2573469.372985573
2013-05-01,2671797.057703467,2761403.548567967,2582526.8726617913
2013-06-01,2545853.168366556,2637461.143552287,2456968.558156736
2013-07-01,2619991.3112771497,2707827.3313265606,2528326.1881485055
2013-08-01,2579399.4736404372,2667441.8697837438,2484156.363468225
2013-09-01,2413427.970925656,2495655.186979224,2326040.2735837204
2013-10-01,2448532.0628175857,2538799.3795178453,2361889.7703925
2013-11-01,2367612.8679527873,2457783.7515040357,2279253.89611314
2013-12-01,2411487.656273958,2494136.032992019,2329054.3188334177
2014-01-01,2315857.7323164744,2409907.933599468,2225716.6957588852
2014-02-01,2287914.318481778,2370501.5411322457,2202301.0142808743
2014-03-01,2525842.8781002704,2609859.487730209,2438888.1993462183
2014-04-01,2397719.1090266593,2488746.598260534,2309621.231428502
2014-05-01,2430695.9726840365,2514663.7254646774,2342633.0174899814
2014-06-01,2315795.4456847226,2403053.7993901414,2226679.5394010926
2014-07-01,2424465.0680091493,2510524.7765093516,2334740.664131762
2014-08-01,2388302.8337433,2472602.323050621,2298169.056662362
2014-09-01,2271901.960484185,2364379.967135035,2182304.4132975508
2014-10-01,2344286.0260732146,2434653.123582421,2253679.4221123555
2014-11-01,2240937.575117296,2334185.191475839,2155894.9765760954
2014-12-01,2277903.3535102876,2361544.147142694,2193082.070853036
2015-01-01,2196903.6845549396,2280977.7901185607,2109345.8637459544
2015-02-01,2214372.8787581325,2301434.4474558434,2121757.146708083
2015-03-01,2408614.28288267,2499771.197520932,2320457.302915992
2015-04-01,2303972.1564760325,2394334.6604112065,2217168.7420089836
2015-05-01,2339679.01756314,2428058.7729923236,2249176.755537155
2015-06-01,2204823.3649197123,2288887.029158415,2119048.4607354663
2015-07-01,2323577.0701036314,2406588.458653775,2234059.90860817
2015-08-01,2273334.4220479727,2364441.0326136653,2189739.325136207
2015-09-01,2182404.9482238255,2268641.378656089,2091415.426972541
2015-10-01,2272126.374285021,2361370.743946313,2176460.1726437826
2015-11-01,2139788.3410552116,2228680.2726309206,2052619.3443875117
2015-12-01,2163980.636894989,2255307.0799471946,2074590.0565452066
2016-01-01,2089424.4947837708,2183384.2511694366,2007534.652015915
2016-02-01,2140794.4912850237,2224606.8701518606,2054512.0749752973
2016-03-01,2337286.953612953,2426276.1843857253,2245693.0899340766
2016-04-01,2186415.437744806,2278077.047914683,2102915.6952746543
2016-05-01,2206630.636093177,2290849.4693425386,2116326.5592635167
2016-06-01,2146720.7664381084,2235878.467473563,2052691.9592301806
