year,month,revenue_forecast,upper_estimate,lower_estimate
2018,09,1925079.477185179,2016753.4802930064,1827926.345326841
2018,10,1985027.4186414133,2081489.3258357276,1888436.4488514017
2018,11,1894051.4406093203,1988145.5469443128,1799886.0230158877
2018,12,1922704.7843265273,2015377.2235011368,1826849.897925089
2019,01,1852008.0379143944,1942934.789704383,1759086.6933704421
2019,02,1848871.7042758153,1942462.5818046015,1757409.6838901066
2019,03,2035718.8905694175,2132806.7108837496,1935654.5415895637
2019,04,1937082.348211399,2045416.1025316035,1840319.586764821
2019,05,1955619.2019767421,2060065.4631334508,1855947.4781958794
2019,06,1835131.6727273848,1940091.449837762,1723763.1061455985
2019,07,1928625.737775111,2031877.1455041952,1819197.6956340577
2019,08,1887699.099997477,2010059.1897316198,1773337.6329647875
2019,09,1803911.8252765276,1930299.1163786796,1680838.145962443
2019,10,1879995.9485809049,2014268.6632178118,1746898.972931273
2019,11,1770092.1441805551,1891890.2888239124,1646504.2524723161
2019,12,1788450.3185305793,1932987.889769209,1654036.0588472618
