date,rev_forecast,upper_estimate,lower_estimate
10/1/2018,1910641.38,2004193.37,1817461.88
11/1/2018,1824950.01,1913163.05,1735633.24
12/1/2018,1852488.46,1937011.94,1760931.04
1/1/2019,1784027.79,1876497.79,1694329.89
2/1/2019,1794313.05,1881025.90,1700783.59
3/1/2019,1951274.86,2037712.45,1858821.95
4/1/2019,1862513.71,1956559.10,1771800.01
5/1/2019,1889363.38,1982864.60,1800576.29
6/1/2019,1779455.45,1880955.17,1688131.61
7/1/2019,1870166.46,1975011.98,1763687.03
8/1/2019,1832884.26,1948545.78,1716381.97
9/1/2019,1755816.28,1869447.03,1636643.28
10/1/2019,1817850.17,1948825.86,1703296.37
11/1/2019,1712932.96,1842098.95,1596084.07
12/1/2019,1731116.33,1873364.48,1597426.44
