date,rev_forecast,upper_estimate,lower_estimate
2010-01-01,3899740.5618742933,3985692.2715849984,3809902.16484123
2010-02-01,3862793.252619773,3949873.8018146614,3777366.5089225587
2010-03-01,4262112.183522228,4349598.367206565,4171768.1259990833
2010-04-01,4043389.14227124,4130953.882001557,3962566.402928407
2010-05-01,4096502.282139556,4180507.8064011023,4006820.052306589
2010-06-01,3899402.871126845,3985873.831607339,3812392.044717923
2010-07-01,4078858.7548561,4168201.1500606723,3989948.0592993507
2010-08-01,4014406.7756345626,4102529.884368627,3930145.322855752
2010-09-01,3815290.9144916735,3910287.4583315104,3731597.9125077007
2010-10-01,3933366.577299363,4024780.3644370055,3844303.8467429527
2010-11-01,3756499.575398004,3842023.2505500717,3668819.1069677724
2010-12-01,3808829.678959227,3904571.0137471575,3721078.388609919
2011-01-01,3663720.2385108415,3751102.9118826305,3575773.544808611
2011-02-01,3683033.319533058,3779487.7263105786,3600310.3572470583
2011-03-01,3981099.169202911,4073568.7272486794,3894307.4654814047
2011-04-01,3781474.7084529693,3867974.707607716,3692635.1689020214
2011-05-01,3813684.038290031,3900171.9367505168,3727186.6342496313
2011-06-01,3561644.0165545084,3654833.68926161,3472091.7504891395
2011-07-01,3720371.8732386017,3808446.908541596,3631670.5800318057
2011-08-01,3606211.4921333073,3697778.352043178,3509553.7613284513
2011-09-01,3429360.512897768,3517470.798754553,3342575.544781334
2011-10-01,3537248.7618308864,3629094.8976258603,3449239.829594819
2011-11-01,3298777.3444143273,3388514.5777445915,3205654.786868275
2011-12-01,3304080.7726165694,3389554.3415474133,3216952.81592664
2012-01-01,3158086.056118601,3244507.3719402817,3065332.1243421845
2012-02-01,3202529.4090553923,3291881.462485547,3113166.182310296
2012-03-01,3462312.5867504603,3552519.358165594,3373939.603230212
2012-04-01,3204424.2795485607,3290048.123930376,3115083.2778546433
2012-05-01,3201625.44233843,3292230.8001728905,3113625.314426504
2012-06-01,3081825.790892723,3172789.766082108,2994072.877013853
2012-07-01,3148840.2832907336,3242042.5538590793,3058172.7369075557
2012-08-01,3107306.4320995496,3199921.535311727,3019978.880845679
2012-09-01,2868433.514995299,2954716.980268689,2779642.818782299
2012-10-01,2867622.5408562003,2962910.9195114966,2783866.1821952583
2012-11-01,2787763.3831529827,2882165.4703872986,2696956.795196173
2012-12-01,2828510.2545787655,2915980.8023235127,2744458.8969550184
2013-01-01,2688405.251222025,2778423.867527353,2593975.9137824858
2013-02-01,2587727.144052997,2674756.344622653,2500727.109670675
2013-03-01,2866666.4308818975,2950153.527695521,2779046.4553304724
2013-04-01,2666777.3026031386,2751585.27381104,2582315.617936859
2013-05-01,2671797.057703467,2764308.978183451,2579088.0863176626
2013-06-01,2545853.168366556,2634425.714132929,2461034.1826642617
2013-07-01,2619991.3112771497,2705701.3454268365,2526610.344798457
2013-08-01,2579399.4736404372,2671781.547388944,2490361.4639991517
2013-09-01,2413427.970925656,2498620.866924136,2327548.0283920183
2013-10-01,2448532.0628175857,2532266.0299148876,2362637.8180291657
2013-11-01,2367612.8679527873,2455874.4031586396,2282634.753068914
2013-12-01,2411487.656273958,2498333.9237740994,2321700.984439546
2014-01-01,2315857.7323164744,2408593.7680744217,2228987.392197555
2014-02-01,2287914.318481778,2378648.456016475,2200259.152468714
2014-03-01,2525842.8781002704,2616859.371449611,2442261.312203517
2014-04-01,2397719.1090266593,2481084.7486031037,2310211.628487757
